H1,H2,H3,H4,H5,ItemCode,WeekStartDate,Sales,Stock,Price,FirstPrice,Discount,DiscountOnPrice,PrevDiscountRate,PrevSales
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000100001656,2022-12-01,223,2688,99.9900,129.99,0.227973,0.2307869836141241634,0.0000000000000000000,134
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000100001991,2022-12-01,163,2685,79.9900,99.99,0.215913,0.2000200020002000201,0.0000000000000000000,129
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100002045,2023-01-05,107,2119,479.9900,599.99,0.196706,0.2000033333888898149,0.0000000000000000000,51
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100002047,2023-01-05,85,2060,479.9900,599.99,0.267721,0.2000033333888898149,0.0000000000000000000,53
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100002048,2023-01-05,20,1618,479.9900,599.99,0.197360,0.2000033333888898149,0.0000000000000000000,10
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100002049,2023-01-05,14,1163,479.9900,599.99,0.195510,0.2000033333888898149,0.0000000000000000000,0
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100002050,2023-01-05,31,1798,479.9900,599.99,0.257760,0.2000033333888898149,0.0000000000000000000,19
AYAKKABI,ERKEK,CASUAL,BOT,BASIC GUNLUK BOT,000000000100018236,2023-02-23,1,23,299.9900,389.99,0.225176,0.2307751480807200185,0.0000000000000000000,0
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101032717,2022-11-10,7,390,259.9900,329.99,0.246166,0.2070527170125049903,0.0000000000000000000,0
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101032718,2022-11-17,1,121,259.9900,329.99,0.248990,0.2070527170125049903,0.0000000000000000000,2
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101032719,2022-11-10,2,54,279.9900,329.99,0.352748,0.1460544917698428280,0.0000000000000000000,0
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101032721,2022-11-10,37,745,209.9900,319.99,0.385631,0.3395337082544699088,0.0000000000000000000,18
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101032724,2022-11-17,5,415,209.9900,299.99,0.331138,0.2955011543863056305,0.0000000000000000000,6
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001550,2022-11-10,29,482,249.9900,329.99,0.274432,0.2375519943292089221,0.0000000000000000000,11
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001550,2022-12-01,31,415,189.9900,329.99,0.420273,0.4242552804630443347,0.2375519943292089221,9
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000100001610,2023-02-02,69,377,429.9900,529.99,0.239206,0.1886828053359497350,0.0000000000000000000,15
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000100001611,2022-12-15,24,1102,429.9900,529.99,0.164002,0.1834569068981613271,0.0000000000000000000,4
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000100001611,2023-01-05,46,1078,349.9900,529.99,0.334082,0.3353754828844186560,0.1834569068981613271,22
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000100001611,2023-02-02,157,934,279.9900,529.99,0.473180,0.4717070133398743373,0.3353754828844186560,41
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001617,2022-12-15,21,213,299.9900,379.99,0.204785,0.2105318561014763547,0.0000000000000000000,24
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001618,2023-01-05,20,276,299.9900,379.99,0.215941,0.2105318561014763547,0.0000000000000000000,18
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000100284850,2023-01-26,3,8,379.9900,479.99,0.427827,0.2083376737015354487,0.0000000000000000000,0
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000100284863,2023-02-02,1,32,329.9900,479.99,0.307051,0.3125065105523031730,0.2032383826836972148,0
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000100000410,2022-11-24,205,2898,99.9900,129.99,0.231975,0.2258325891289296502,0.0000000000000000000,87
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000100000410,2022-12-08,237,2487,79.9900,129.99,0.376108,0.3846449726902069390,0.2258325891289296502,124
AYAKKABI,KADIN,CASUAL,BOT,CHELSEA BOT,000000000100002315,2023-02-23,1,67,799.9900,959.00,0.584033,0.1604348959513986490,0.0000000000000000000,0
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000100198690,2023-02-02,1,1,329.9900,479.99,0.307051,0.3125065105523031730,0.2032383826836972148,0
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100406509,2022-11-10,5,198,579.9900,649.99,0.174235,0.1019463844594264661,0.0000000000000000000,4
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100406509,2022-12-08,11,180,499.9900,649.99,0.367884,0.2307727811197095340,0.1019463844594264661,2
