H1,H2,H3,H4,H5,ItemCode,WeekStartDate,ActualPrice,FirstPrice,Sales,SalesRevenue,SalesRevenueonPrice,ExpectedSalesRevenue,DiscountRate,DiscountRateOnPrice,StoreStock,StoreIncomingStock,DistinctStoreCount,PrevDiscountRate
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000100000410,2022-11-24,99.9900,129.99,205,18829.0000,20497.9500,26647.95,0.231975,0.2258325891289296502,2262,636,226,0.0000000000000000000
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000100000410,2022-12-08,79.9900,129.99,237,17683.0000,18957.6300,30807.63,0.376108,0.3846449726902069390,1875,612,227,0.2258325891289296502
AYAKKABI,KADIN,CASUAL,BOT,CHELSEA BOT,000000000100002315,2023-02-23,799.9900,959.00,1,367.0000,799.9900,959.00,0.584033,0.1604348959513986490,54,13,24,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,WORKER BOT,000000000100002457,2023-02-02,249.9900,329.99,114,26082.0000,28498.8600,37618.86,0.246389,0.2424315888360253342,500,9,114,0.0000000000000000000
AYAKKABI,COCUK,NULL,BOT,WORKER BOT,000000000100002842,2023-01-19,199.9900,279.99,162,29880.0000,32398.3800,45358.38,0.283964,0.2857244901603628702,1940,273,261,0.0000000000000000000
AYAKKABI,KADIN,COMFORT,TERLIK,EV ICI TERLIK,000000000100018020,2022-12-01,99.9900,119.99,102,9732.0000,10198.9800,12238.98,0.135691,0.1666805567130594217,1603,25,172,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018128,2022-11-10,399.9900,499.99,28,10360.0000,11199.7200,13999.72,0.195637,0.1948510709344621676,536,57,68,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018128,2022-12-15,399.9900,499.99,24,9010.0000,9599.7600,11999.76,0.183861,0.1948510709344621676,421,147,93,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018128,2023-01-05,329.9900,499.99,16,4896.0000,5279.8400,7999.84,0.334770,0.3357556281560413817,472,37,95,0.1948510709344621676
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018128,2023-01-19,279.9900,499.99,28,7075.0000,7839.7200,13999.72,0.450688,0.4400088001760035201,460,27,96,0.3357556281560413817
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018129,2022-12-22,399.9900,499.99,15,5644.0000,5999.8500,7499.85,0.182013,0.1948510709344621676,0,29,4,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018129,2023-01-05,329.9900,499.99,21,6378.0000,6929.7900,10499.79,0.339739,0.3357556281560413817,436,20,69,0.1948510709344621676
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018129,2023-01-19,279.9900,499.99,20,4879.0000,5599.8000,9999.80,0.469664,0.4400088001760035201,419,7,69,0.3357556281560413817
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018130,2022-12-15,399.9900,499.99,13,4926.0000,5199.8700,6499.87,0.176238,0.1948510709344621676,308,3,49,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018130,2023-01-05,329.9900,499.99,14,4367.0000,4619.8600,6999.86,0.321881,0.3357556281560413817,285,2,52,0.1948510709344621676
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100018130,2023-02-02,249.9900,499.99,37,8132.0000,9249.6300,18499.63,0.522200,0.5000100002000040001,219,7,50,0.3357556281560413817
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000100198690,2023-02-02,329.9900,479.99,1,306.0000,329.9900,479.99,0.307051,0.3125065105523031730,0,1,1,0.2032383826836972148
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000100228061,2023-01-26,379.9900,479.99,1,187.0000,379.9900,479.99,0.576532,0.2032383826836972148,9,0,8,0.0000000000000000000
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100238402,2022-11-10,299.9900,389.99,1,278.0000,299.9900,389.99,0.225176,0.2307751480807200185,5,0,4,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,AYAKKABI,FASHION SNEAKER,000000000100001108,2022-12-15,269.9900,329.99,62,15334.0000,16739.3800,20459.38,0.185343,0.1818236916270190006,680,21,173,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100001109,2022-12-15,329.9900,399.99,11,3524.0000,3629.8900,4399.89,0.129425,0.1696903835639369246,220,59,30,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100001109,2023-01-05,279.9900,399.99,15,3820.0000,4199.8500,5999.85,0.307954,0.2954986918151214650,245,31,33,0.1696903835639369246
AYAKKABI,KADIN,CASUAL,BOT,DR. MARTE BOT,000000000100001109,2023-02-02,229.9900,399.99,21,4482.0000,4829.7900,8399.79,0.420017,0.4250106252656316408,207,1,36,0.2954986918151214650
AYAKKABI,KADIN,CASUAL,BOT,KISLIK BOT & KAR BOTU,000000000100001115,2023-01-26,799.9900,979.99,34,24769.0000,27199.6600,33319.66,0.191984,0.1836753436259553669,617,122,89,0.0000000000000000000
AYAKKABI,KADIN,DRESS,BOT,OKCELI BOT,000000000100001116,2023-02-02,799.9900,979.99,45,32586.0000,35999.5500,44099.55,0.196828,0.1836753436259553669,548,32,87,0.0000000000000000000
AYAKKABI,KADIN,DRESS,BOT,OKCELI BOT,000000000100001173,2022-12-15,399.9900,499.99,77,27799.0000,30799.2300,38499.23,0.215146,0.2000040000800016001,716,10,227,0.0000000000000000000
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000100001542,2022-12-15,329.9900,389.99,25,7629.0000,8249.7500,9749.75,0.149477,0.1538500987204800124,482,2,74,0.0000000000000000000
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000100001543,2022-11-10,309.9900,389.99,28,8184.0000,8679.7200,10919.72,0.185359,0.2000134897550327378,768,56,84,0.0000000000000000000
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000100001543,2022-12-01,249.9900,389.99,49,11393.0000,12249.5100,19109.51,0.351962,0.3589835636811200288,672,29,80,0.2000134897550327378
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000100001544,2022-11-17,309.9900,399.99,16,4675.0000,4959.8400,6399.84,0.205993,0.2200136525152259242,326,0,46,0.0000000000000000000
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000100001544,2022-12-01,249.9900,399.99,28,6229.0000,6999.7200,11199.72,0.395463,0.3750093752343808596,289,1,49,0.2200136525152259242
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000100001545,2022-12-01,249.9900,399.99,16,3640.0000,3999.8400,6399.84,0.381779,0.3709837311150170059,711,14,95,0.2200136525152259242
AYAKKABI,KADIN,DRESS,AYAKKABI,LOAFER,000000000100001545,2022-12-15,199.9900,399.99,37,6677.0000,7399.6300,14799.63,0.509609,0.5000125003125078127,672,16,97,0.3709837311150170059
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001549,2022-11-10,249.9900,329.99,7,1617.0000,1749.9300,2309.93,0.239108,0.2375519943292089221,249,2,82,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001550,2022-11-10,249.9900,329.99,29,6388.0000,7249.7100,9569.71,0.274432,0.2375519943292089221,452,30,111,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001550,2022-12-01,189.9900,329.99,31,5456.0000,5889.6900,10229.69,0.420273,0.4242552804630443347,401,14,106,0.2375519943292089221
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000100001610,2023-02-02,429.9900,529.99,69,25596.0000,29669.3100,36569.31,0.239206,0.1886828053359497350,359,18,103,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000100001611,2022-12-15,429.9900,529.99,24,9783.0000,10319.7600,12719.76,0.164002,0.1834569068981613271,1031,71,116,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000100001611,2023-01-05,349.9900,529.99,46,14936.0000,16099.5400,24379.54,0.334082,0.3353754828844186560,1051,27,122,0.1834569068981613271
AYAKKABI,KADIN,CASUAL,BOT,BASIC GUNLUK BOT,000000000100001611,2023-02-02,279.9900,529.99,157,40329.0000,43958.4300,83208.43,0.473180,0.4717070133398743373,923,11,126,0.3353754828844186560
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001617,2022-12-15,299.9900,379.99,21,5838.0000,6299.7900,7979.79,0.204785,0.2105318561014763547,211,2,36,0.0000000000000000000
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000100001618,2023-01-05,299.9900,379.99,20,5482.0000,5999.8000,7599.80,0.215941,0.2105318561014763547,262,14,42,0.0000000000000000000
AYAKKABI,COCUK,NULL,BOT,BIKER BOT,000000000100339069,2023-02-02,329.9900,429.99,3,513.0000,989.9700,1289.97,0.567736,0.2325635479894881277,4,0,4,0.0000000000000000000
AYAKKABI,COCUK,NULL,BOT,BIKER BOT,000000000100339623,2023-02-02,279.9900,449.99,2,268.0000,559.9800,899.98,0.676322,0.3777861730260672460,2,0,2,0.2172173874395276417
AYAKKABI,COCUK,NULL,BOT,BIKER BOT,000000000100340697,2022-12-15,349.9900,449.99,1,324.0000,349.9900,449.99,0.217374,0.2172173874395276417,4,1,5,0.0000000000000000000
AYAKKABI,COCUK,NULL,BOT,BASIC GUNLUK BOT,000000000100336685,2022-11-10,359.9900,449.99,2,666.0000,719.9800,899.98,0.195635,0.1948514314810860532,3,0,3,0.0000000000000000000
AYAKKABI,ERKEK,CASUAL,BOT,BASIC GUNLUK BOT,000000000100018236,2023-02-23,299.9900,389.99,1,278.0000,299.9900,389.99,0.225176,0.2307751480807200185,23,0,6,0.0000000000000000000
AYAKKABI,ERKEK,DRESS,BOT,FORMAL BOT,000000000100319958,2023-02-02,299.9900,409.99,1,278.0000,299.9900,409.99,0.262973,0.2682992268104100101,5,0,5,0.0000000000000000000
AYAKKABI,ERKEK,CASUAL,AYAKKABI,OUTDOOR,000000000100421109,2023-01-19,299.9900,449.99,1,248.0000,299.9900,449.99,0.400953,0.3333407409053534523,21,2,16,0.2172173874395276417
