H1,H2,H3,H4,H5,ItemCode,WeekStartDate,Sales,Stock,Price,FirstPrice,Discount,DiscountOnPrice,PrevDiscountRate,PrevWeekStock,PrevSales
AYAKKABI,KADIN,CASUAL,BOT,KISLIK BOT & KAR BOTU,000000000101207204,2023-11-09,23,323,324.0648,509.2500,0.3982,0.36364300441826215023,0.18182150220913107512,353,6
AYAKKABI,KADIN,CASUAL,BOT,WORKER BOT,000000000101207207,2023-11-23,1,72,694.4352,861.1019,0.2082,0.19355049617240421837,0.00000000000000000000,72,0
AYAKKABI,KADIN,CASUAL,BOT,WORKER BOT,000000000101207210,2023-10-26,15,1108,509.2500,648.1389,0.2343,0.21428878902346395194,0.00000000000000000000,1076,11
AYAKKABI,KADIN,CASUAL,BOT,WORKER BOT,000000000101207210,2023-11-09,48,1040,416.6574,648.1389,0.4310,0.35714798170577325324,0.21428878902346395194,1059,20
AYAKKABI,KADIN,DRESS,BOT,DUZ BOT,000000000101207314,2023-10-26,8,379,740.7315,925.9167,0.2617,0.20000200882001588264,0.00000000000000000000,385,4
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101207856,2023-10-26,7,927,537.0278,629.6204,0.2263,0.14706099103523329295,0.00000000000000000000,934,11
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101207856,2023-11-23,13,862,444.4352,629.6204,0.3389,0.29412198207046658590,0.14706099103523329295,876,18
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101207857,2023-11-02,13,820,537.0278,629.6204,0.2035,0.14706099103523329295,0.00000000000000000000,826,6
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101207857,2023-11-23,14,716,444.4352,629.6204,0.3189,0.29412198207046658590,0.14706099103523329295,750,27
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101207876,2023-10-26,42,1660,509.2500,601.8426,0.1958,0.15384853116080516734,0.00000000000000000000,1700,45
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101221887,2023-11-09,0,603,1619.4444,1943.5185,0.0000,0.16674608448543196271,0.00000000000000000000,809,35
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101238486,2023-11-09,6,351,1063.8889,1323.1481,0.3082,0.19594117997826547157,0.00000000000000000000,167,5
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101260567,2023-11-09,21,74,879.6204,1111.1019,0.6858,0.20833507709778914068,0.00000000000000000000,108,31
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,FUTBOL,000000000101260572,2023-10-26,112,906,833.3241,1018.5093,0.3583,0.18181984199849721549,0.00000000000000000000,1155,72
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,FUTBOL,000000000101260572,2023-11-23,42,1044,601.8426,1018.5093,0.4432,0.40909464449661873486,0.18181984199849721549,1094,41
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,FUTBOL,000000000101260583,2023-10-26,82,567,740.7315,925.9167,0.3865,0.20000200882001588264,0.00000000000000000000,623,49
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101260600,2023-11-23,10,311,1157.3981,1481.4722,0.3282,0.21875138797744567870,0.00000000000000000000,278,15
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101274156,2023-09-28,62,547,787.0278,925.9167,0.4117,0.15000150661501191198,0.00000000000000000000,632,32
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101274156,2023-11-09,30,310,694.4352,925.9167,0.4707,0.25000251102501985330,0.15000150661501191198,358,32
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101274158,2023-10-26,139,494,740.7315,925.9167,0.4953,0.20000200882001588264,0.00000000000000000000,549,61
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101274158,2023-11-23,23,277,555.5463,925.9167,0.4531,0.40000401764003176528,0.20000200882001588264,296,19
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101280177,2023-11-09,58,153,648.1389,787.0278,0.5524,0.17647267351928356280,0.00000000000000000000,178,26
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,FUTBOL,000000000101281343,2023-10-26,182,1562,509.2500,648.1389,0.2940,0.21428878902346395194,0.00000000000000000000,1599,96
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000101107597,2023-10-26,0,16,305.5463,444.4352,0.0000,0.31250652513572282304,0.16667019173998819176,16,0
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000101107597,2023-11-09,1,16,259.2500,444.4352,0.4273,0.41667536684763043072,0.31250652513572282304,16,0
AYAKKABI,KADIN,CASUAL,AYAKKABI,HAVUZ TABAN SNEAKER,000000000101107597,2023-11-23,1,16,212.9537,444.4352,0.5296,0.52084420855953803840,0.41667536684763043072,16,0
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101118328,2023-11-09,116,1132,1342.5000,1620.2778,0.2204,0.17143837927051768531,0.00000000000000000000,1113,29
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,FUTBOL,000000000101118363,2023-11-09,13,206,878.7037,1110.1852,0.2229,0.20850710313918794811,0.00000000000000000000,261,9
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101120116,2023-11-09,9,33,1111.0185,1342.5000,0.2079,0.17242569832402234637,0.00000000000000000000,30,1
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101120886,2023-11-09,12,721,1342.5000,1620.2778,0.2195,0.17143837927051768531,0.00000000000000000000,625,5
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MAKOSEN,000000000101148716,2023-10-26,2,29,277.7685,370.3611,0.4477,0.25000627765712975796,0.00000000000000000000,21,2
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101164434,2023-11-23,40,1064,740.7315,925.9167,0.2474,0.20000200882001588264,0.00000000000000000000,1086,35
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000101164729,2023-10-26,1,3,1296.2870,1574.0648,0.5345,0.17647164208233358627,0.00000000000000000000,3,0
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101164830,2023-11-09,7,199,740.7315,925.9167,0.2146,0.20000200882001588264,0.00000000000000000000,186,4
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101164830,2023-11-23,8,209,555.5463,925.9167,0.5086,0.40000401764003176528,0.20000200882001588264,195,6
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101165190,2023-10-26,223,3087,925.9167,1111.1019,0.2003,0.16666806167823131254,0.00000000000000000000,4030,143
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000101165735,2023-10-26,32,935,1249.9907,1574.0648,0.4398,0.20588358242938918398,0.00000000000000000000,956,27
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101166396,2023-10-26,30,1344,444.4352,537.0278,0.1846,0.17241677246503812280,0.00000000000000000000,1374,29
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101166397,2023-10-26,33,1679,444.4352,537.0278,0.2636,0.17241677246503812280,0.00000000000000000000,1719,36
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101175089,2023-11-09,5,44,259.2500,342.5833,0.2570,0.24324974393089213631,0.00000000000000000000,48,2
AYAKKABI,COCUK,NULL,AYAKKABI,BABET,000000000101175154,2023-10-26,0,46,185.1759,259.2500,0.0000,0.28572459016393442623,0.00000000000000000000,48,2
AYAKKABI,COCUK,NULL,AYAKKABI,BABET,000000000101175154,2023-11-09,1,42,148.1389,259.2500,0.7195,0.42858669238187078110,0.28572459016393442623,45,3
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101175191,2023-11-02,11,206,222.2130,259.2500,0.2219,0.14286210221793635487,0.00000000000000000000,211,6
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101175210,2023-10-26,12,82,305.5463,407.3981,0.3423,0.25000558421848310044,0.00000000000000000000,89,6
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101175211,2023-09-28,16,207,351.8426,407.3981,0.2051,0.13636661535731266298,0.00000000000000000000,215,8
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101175211,2023-10-26,8,159,305.5463,407.3981,0.3745,0.25000558421848310044,0.13636661535731266298,169,11
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101175211,2023-11-23,0,121,212.9537,407.3981,0.0000,0.47728352194082397537,0.25000558421848310044,130,5
AYAKKABI,KADIN,CASUAL,AYAKKABI,BASIC SNEAKER,000000000101175290,2023-10-26,0,18,444.4352,555.5463,0.0000,0.20000331205517883928,0.00000000000000000000,16,0
AYAKKABI,KADIN,CASUAL,AYAKKABI,FASHION SNEAKER,000000000101175292,2023-10-26,10,151,398.1389,583.3241,0.3733,0.31746536788039444968,0.12698618143841476806,156,3
AYAKKABI,KADIN,CASUAL,AYAKKABI,FASHION SNEAKER,000000000101175292,2023-11-09,11,129,324.0648,583.3241,0.4546,0.44445154931880921773,0.31746536788039444968,139,10
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101176982,2023-09-28,1,4,370.3611,444.4352,0.5454,0.16667019173998819176,0.00000000000000000000,6,2
AYAKKABI,KADIN,CASUAL,AYAKKABI,FASHION SNEAKER,000000000101177254,2023-10-26,6,141,740.7315,925.9167,0.3844,0.20000200882001588264,0.00000000000000000000,152,5
AYAKKABI,KADIN,CASUAL,AYAKKABI,FASHION SNEAKER,000000000101177254,2023-11-09,2,109,601.8426,925.9167,0.9500,0.35000351543502779462,0.20000200882001588264,133,3
AYAKKABI,KADIN,CASUAL,AYAKKABI,FASHION SNEAKER,000000000101177254,2023-11-23,1,89,490.7315,925.9167,0.8675,0.47000469912682209966,0.35000351543502779462,99,8
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101178689,2023-10-26,17,179,416.6574,509.2500,0.2333,0.18182150220913107512,0.00000000000000000000,194,13
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101178990,2023-11-23,0,33,277.7685,416.6574,0.0000,0.33334077349880261338,0.15555897963170700917,35,1
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101178993,2023-09-21,75,1005,351.8426,416.6574,0.2425,0.15555897963170700917,0.00000000000000000000,1055,43
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101178993,2023-11-23,9,504,277.7685,416.6574,0.4857,0.33334077349880261338,0.15555897963170700917,537,16
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101179980,2023-09-28,14,112,370.3611,462.9537,0.3528,0.20000401768038574916,0.00000000000000000000,137,19
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101179980,2023-11-09,10,82,305.5463,462.9537,0.5626,0.34000678685579141068,0.20000401768038574916,82,4
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101179983,2023-09-28,27,123,370.3611,462.9537,0.4782,0.20000401768038574916,0.00000000000000000000,150,23
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101179983,2023-11-09,6,66,305.5463,462.9537,0.4285,0.34000678685579141068,0.20000401768038574916,89,-2
AYAKKABI,COCUK,NULL,BOT,ATHLETIC BOT,000000000101180553,2023-11-23,5,818,462.9537,555.5463,0.3562,0.16666945671314884106,0.00000000000000000000,857,31
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101331665,2023-11-23,32,1056,509.2500,601.8426,0.2019,0.15384853116080516734,0.00000000000000000000,800,58
